SiteFunctionalLocation,LicenceArea,SiteName,SiteType,SiteVoltage,ESQCROverallRisk,GridRef,SiteAssetCount,PowerTransformerCount,ElectricalAssetCount,CivilAssetCount,Street,Suburb,TownCity,County,PostCode,YearCommissioned,DateCommissioned,SiteClassification,AssessmentDate,Last_Report,CalculatedResistance,MeasuredResistance.Ohm.,Next_AssessmentDate,Easting,Northing,transratingwinter,transratingsummer,reversepower,maxdemandsummer,maxdemandwinter,Spatial Coordinates,local_authority,local_authority_code,what3words
SPN-S000000009941,South Eastern Power Networks (SPN),PURLEY GRID 132 KV,Grid Substation,132,High,TQ3150961828,139,2,139,0,WHYTECLIFFE ROAD NORTH,,PURLEY,Surrey,CR8 2AR,NA,1938-04-01,HOT,2015-10-21,ESL0952012-R01 RC,1.90Ω 0.00Deg,0.16,2026-11-26,531509,161828,NA,NA,NA,NA,NA,"51.3403359345364, -0.113362218176801",Croydon,E09000008,public.swear.galaxy
SPN-S000000009944,South Eastern Power Networks (SPN),SITTINGBOURNE GRID 132 KV,Grid Substation,132,Very High,TQ8794264063,482,5,482,0,KEY STREET,,SITTINGBOURNE,Kent,ME9 8BX,NA,1956-04-01,HOT,2018-12-10,ELP01140-R01,0.45Ω 0.00Deg,0.14,2030-11-26,587942,164063,NA,NA,NA,NA,NA,"51.3445718254735, 0.697184728468464",Swale,E07000113,sundial.ruling.chicken
SPN-S000000009946,South Eastern Power Networks (SPN),SHEERNESS GRID 132 KV,Grid Substation,132,Very High,TQ9121374452,136,2,136,0,BRIELLE WAY,SHEERNESS,SHEPPEY,Kent,ME12 1HB,NA,1958-04-01,COLD,2010-11-12,P-10-696-85,0.05Ω 1.00Deg,,2029-11-26,591213,174452,NA,NA,NA,NA,NA,"51.4367883820478, 0.749684873539014",Swale,E07000113,digests.animal.eyelashes
SPN-S000000009947,South Eastern Power Networks (SPN),SUTTON GRID 132 KV,Grid Substation,132,High,TQ2618263814,125,2,125,0,WELLESLEY ROAD,,SUTTON,Surrey,SM2 5BW,NA,1964-04-01,COLD,2022-06-14,ELP07262021-R01,0.14Ω 0.00Deg,,2038-11-26,526182,163814,NA,NA,NA,NA,NA,"51.3593907883551, -0.189094508481699",Sutton,E09000029,swim.fire.view
SPN-S000000009948,South Eastern Power Networks (SPN),STROOD 132 KV,Grid Substation,132,High,TQ7398069748,246,2,246,0,FRINDSBURY HILL,,STROOD,Kent,ME2 4EA,NA,1957-04-01,COLD,2021-05-20,ELP05772-R01,1.12Ω 0.00Deg,0.11,2029-11-26,573980,169748,NA,NA,NA,NA,NA,"51.4000826847542, 0.499704552098104",Medway,E06000035,card.drum.taker
SPN-S000000009953,South Eastern Power Networks (SPN),WEST WEYBRIDGE GRID 132 KV,Grid Substation,132,High,TQ0533262078,709,5,709,0,HEATHERVALE ESTATE,NEW HAW,WEYBRIDGE,Surrey,KT15 3AS,NA,1956-04-01,HOT,2018-07-25,ELP0062019-R01,0.12Ω 0.00Deg,0.06,2034-11-26,505332,162078,NA,NA,NA,NA,NA,"51.3480311972863, -0.488943699583462",Runnymede,E07000212,laser.lived.admire
SPN-S000000009957,South Eastern Power Networks (SPN),RICHBOROUGH GRID 132 KV,Grid Substation,132,Very High,TR3327461948,466,2,466,0,RAMSGATE ROAD,,RICHBOROUGH,Kent,CT13 9NL,NA,1958-04-01,COLD,2013-06-21,P-13-2827-01,0.05Ω 0.00Deg,0.05,2032-11-26,633274,161948,NA,NA,NA,NA,NA,"51.3088083682998, 1.34562649107573",Thanet,E07000114,flick.completed.loom
SPN-S000000009959,South Eastern Power Networks (SPN),SHEERNESS STEELWORKS 132 KV,Grid Substation,132,Very High,TQ9138274521,65,0,65,0,WELLMARSH,SHEERNESS,SHEPPEY,Kent,ME12 1HB,NA,1959-04-01,COLD,2010-11-12,P-10-696-85,0.05Ω 1.00Deg,,2029-11-26,591382,174521,NA,NA,NA,NA,NA,"51.4373510638322, 0.752150610868682",Swale,E07000113,slightly.bounding.engraving
SPN-S000000009960,South Eastern Power Networks (SPN),SOUTHERN CROSS 132 KV,Grid Substation,132,High,TQ2511005735,569,0,569,0,A270 ADJ 310 OLD SHOREHAM ROAD,,SOUTHWICK,West Sussex,BN41 1SP,NA,1959-04-01,HOT,2015-10-27,ESL0952008-R01 RB,0.60Ω 0.00Deg,0.1,2031-11-26,525110,105735,NA,NA,NA,NA,NA,"50.8376301475226, -0.224591484210184",Adur,E07000223,divisions.clubs.rigid
SPN-S000000009965,South Eastern Power Networks (SPN),BURHAM GRID 132 KV,Grid Substation,132,High,TQ7172160135,165,2,165,0,THE FRIARS HIGH STREET,,AYLESFORD,Kent,ME20 6BY,NA,1959-04-01,COLD,2016-08-02,ESL1520022-R01,1.95Ω 0.00Deg,0.12,2029-11-26,571721,160135,NA,NA,NA,NA,NA,"51.314413458831, 0.462625243709742",Tonbridge and Malling,E07000115,denote.singer.mourner
SPN-S000000009969,South Eastern Power Networks (SPN),LITTLE CHEYNE,Grid Substation,132,Very High,TQ9828921955,76,1,76,0,LITTLE CHEYNE GRID A259,EAST GULDEFORD,RYE,Kent,TN31 7AE,NA,2007-04-01,COLD,2006-07-11,S04107,0.13Ω 0.00Deg,,2028-11-26,598289,121955,NA,NA,NA,NA,NA,"50.9628876601552, 0.822380966356147",Folkestone and Hythe,E07000112,regularly.reporter.mess
SPN-S000000009970,South Eastern Power Networks (SPN),THREE BRIDGES GRID 132/33KV,Grid Substation,132,High,TQ2870236899,121,3,121,0,THREE BRIDGES,,CRAWLEY,West Sussex,RH10 1TN,NA,1955-04-01,HOT,2012-11-15,P-12-2104-01,0.19Ω 3.00Deg,0.12,2025-11-26,528702,136899,NA,NA,NA,NA,NA,"51.116935048442, -0.162583773441074",Crawley,E07000226,crew.dangerously.sparks
SPN-S000000009978,South Eastern Power Networks (SPN),PROLOGIS 132KV,Grid Substation,132,High,TQ2971466594,125,2,125,0,BEDDINGTON PRO-LOGIS GREENLAND WAY,BEDDINGTON,CROYDON,Surrey,CR0 4TD,NA,1961-04-01,COLD,2022-05-06,ELP07262016-R01,0.20Ω 0.00Deg,,2038-11-26,529714,166594,NA,NA,NA,NA,NA,"51.3835796621819, -0.137380793547018",Sutton,E09000029,robot.navy.occurs
SPN-S000000009988,South Eastern Power Networks (SPN),STANGATE QUARRY 132 KV (PRIVATE),Grid Substation,132,High,TQ6005356390,22,0,22,0,STANGATE QUARRY MILL LANE,,BOROUGH GREEN,Kent,TN15 9BH,NA,1960-04-01,HOT,2017-04-26,ESL1991021-R01,4.19Ω 0.00Deg,0.75,2026-11-26,560053,156390,NA,NA,NA,NA,NA,"51.2841654161803, 0.293673267752354",Tonbridge and Malling,E07000115,danger.play.fits
EPN-S0000000C1005,Eastern Power Networks (EPN),FELIXSTOWE GRID 132KV,Grid Substation,132,Low,TM27893516,29,2,29,0,GEORGE BAYER AVENUE,,FELIXSTOWE,NA,IP11 4HF,NA,2016-04-01,COLD,2016-10-10,ESL1708-R01,0.18Ω 0.00Deg,0.07,2039-09-08,627890,235160,NA,NA,NA,NA,NA,"51.9681679590433, 1.31615142891982",East Suffolk,E07000244,rewrites.tripling.mulls
EPN-S0000000C1068,Eastern Power Networks (EPN),BRAMFORD GRID 132kV,Grid Substation,132,High,TM1001145745,594,0,594,0,,,BRAMFORD,Suffolk,IP8 4JL,NA,1987-04-01,HOT,2022-01-10,ELP06706-R01,0.37Ω 0.00Deg,0.06,2029-11-26,610011,245745,NA,NA,NA,NA,NA,"52.0702354374567, 1.06278038805205",Mid Suffolk,E07000203,messing.clarifies.imprinted
EPN-S0000000C1167,Eastern Power Networks (EPN),ERNEST NUNN ROAD 132KV,Grid Substation,132,Low,TM0621656789,34,0,34,0,"STOWMARKET A&B, ERNEST NUNN ROAD,",,"SUFFOLK,",NA,IP14 2AH,NA,2017-04-01,NA,,NA,NA,,2027-11-26,606216,256789,NA,NA,NA,NA,NA,"52.1708142612253, 1.01417900461569",Mid Suffolk,E07000203,pasting.interview.hesitate
EPN-S0000000C3013,Eastern Power Networks (EPN),BRAINTREE 132kV,Grid Substation,132,High,TL7747721641,72,0,72,0,,,CRESSING,Essex,CM77 8DJ,NA,1988-04-01,HOT,2006-06-01,P-06-001,0.12Ω 0.00Deg,,2025-11-26,577477,221641,NA,NA,NA,NA,NA,"51.8651165966756, 0.576208159481259",Braintree,E07000067,backswing.dignity.mills
EPN-S0000000C3051,Eastern Power Networks (EPN),THAXTED GRID 132kV,Grid Substation,132,High,TL6226132310,62,0,62,0,,,THAXTED,Essex,CM6 2RD,NA,1962-04-01,COLD,2013-12-19,P-13-3248-01,NA,0.11,2026-11-30,562261,232310,NA,NA,NA,NA,NA,"51.9655875581503, 0.360450203279172",Uttlesford,E07000077,strictest.neon.fictional
EPN-S0000000C3057,Eastern Power Networks (EPN),CHELMSFORD EAST GRID 132kV,Grid Substation,132,High,TL7407604913,94,0,94,0,,,SANDON,Essex,CM2 7AQ,NA,1954-04-01,COLD,2020-09-11,ELLP03607020-R01,0.41Ω 0.00Deg,0.08,2036-11-30,574076,204913,NA,NA,NA,NA,NA,"51.7159313868667, 0.518478466646667",Chelmsford,E07000070,places.global.crisis
EPN-S0000000C4164,Eastern Power Networks (EPN),WEIRS DROVE 132KV,Grid Substation,132,Medium,TL5813267037,48,0,48,0,WEIRS DROVE,,BURWELL,NA,CB25 0BP,NA,2021-10-29,NA,,NA,NA,,,558132,267037,NA,NA,NA,NA,NA,"52.2787360768574, 0.316526458920097",East Cambridgeshire,E07000009,bypasses.juniors.pace
EPN-S0000000C5012,Eastern Power Networks (EPN),NORWICH MAIN 132kV,Grid Substation,132,Very High,TG2180002385,340,0,340,0,,,DUNSTON,Norfolk,NR14 8PG,NA,1981-04-01,HOT,2018-07-20,ESL0951046-R01,0.81Ω 0.00Deg,0.14,2030-11-26,621800,302385,NA,NA,NA,NA,NA,"52.5740279616305, 1.27181803305154",South Norfolk,E07000149,tomorrow.hurricane.crowned
EPN-S0000000C5014,Eastern Power Networks (EPN),THORPE GRID 132kV,Grid Substation,132,Very High,TG24860793,34,0,34,0,,,NORWICH NR1,Norfolk,NR1 2EE,NA,1965-04-01,NA,,NA,NA,,2029-11-30,624860,307930,NA,NA,NA,NA,NA,"52.6225373412088, 1.32065922068105",Norwich,E07000148,stops.giving.aware
EPN-S0000000C5023,Eastern Power Networks (EPN),SALL GRID 132kV,Grid Substation,132,High,TG1273524079,21,0,21,0,,,CAWSTON,Norfolk,NR10 4EP,NA,1961-04-01,COLD,2013-03-18,P-13-2414-02,NA,0.11,2028-11-26,612735,324079,NA,NA,NA,NA,NA,"52.7723736679056, 1.15226027141417",Broadland,E07000144,roses.rooftop.decoding
EPN-S0000000C5053,Eastern Power Networks (EPN),HALESWORTH GRID 132kV,Grid Substation,132,High,TM39167897,45,0,45,0,,,HALESWORTH,Suffolk,IP19 8QJ,NA,1931-04-01,COLD,2021-10-01,ELP06148-R01,0.23Ω 0.00Deg,0.08,2031-11-26,639160,278970,NA,NA,NA,NA,NA,"52.3565761818556, 1.51073016384416",East Suffolk,E07000244,dunk.booklet.ridge
EPN-S0000000C5089,Eastern Power Networks (EPN),ILKETSHALL GRID 132kV,Grid Substation,132,High,TM3859888069,206,0,206,0,,,ILKETSHALL ST ANDREW,Suffolk,NR34 8JP,NA,1995-04-01,COLD,1996-07-12,S9627,10.10Ω 0.00Deg,,2028-11-26,638598,288069,NA,NA,NA,NA,NA,"52.4384684288347, 1.5089716224836",East Suffolk,E07000244,objective.shining.stitch
EPN-S0000000C6007,Eastern Power Networks (EPN),KINGS LYNN SOUTH GRID 132KV,Grid Substation,132,High,TF62351758,4,0,4,0,HAMLIN WAY,,KINGS LYNN,NA,PE30 4NG,NA,1991-04-01,HOT,2019-01-04,ESL095041-R01,0.11Ω 0.00Deg,0.06,2037-11-30,562350,317580,NA,NA,NA,NA,NA,"52.7314894688611, 0.402938032009501",King's Lynn and West Norfolk,E07000146,leads.stared.analogy
EPN-S0000000C6038,Eastern Power Networks (EPN),PETERBOROUGH POWER STN 132kV,Grid Substation,132,High,TL2196299080,370,0,370,0,,,PETERBOROUGH PE1,Cambridgeshire,PE1 5NT,NA,1990-04-01,HOT,2015-11-24,ESL0951040-R01 RB,0.16Ω 0.00Deg,0.08,2028-11-26,521962,299080,NA,NA,NA,NA,NA,"52.5758701188052, -0.201660510128177",Peterborough,E06000031,blast.sands.blunt
EPN-S0000000C6043,Eastern Power Networks (EPN),WEST MARCH 132kV,Grid Substation,132,High,TL3938196958,107,0,107,0,,,MARCH,Cambridgeshire,PE15 0AH,NA,1962-04-01,COLD,2010-07-15,P-10-696-48,NA,0.09,2028-11-26,539381,296958,NA,NA,NA,NA,NA,"52.5526253967494, 0.0543289823361403",Fenland,E07000010,resorting.atom.ruling
EPN-S0000000C6048,Eastern Power Networks (EPN),WEST RAYNHAM FARM 132kV,Grid Substation,132,High,TF9038929406,40,0,40,0,WEST RAYNHAM FM 132 SHEREFORD ROAD,HEMPTON,FAKENHAM,Norfolk,NR21 7LJ,NA,2012-04-01,COLD,2014-04-22,P-13-2511-01,0.17Ω 0.00Deg,,2030-11-26,590389,329406,NA,NA,NA,NA,NA,"52.8285364792545, 0.824553952180812",North Norfolk,E07000147,bookshelf.papers.lanes
EPN-S0000000C6073,Eastern Power Networks (EPN),PALM PAPER INTAKE 132kV,Grid Substation,132,High,TF6061216975,82,0,82,0,,,KINGS LYNN,Norfolk,PE34 3AW,NA,1995-04-01,COLD,2008-08-06,BPI 06-08-2008,0.04Ω 0.00Deg,,2030-11-26,560612,316975,NA,NA,NA,NA,NA,"52.7265739141368, 0.376927143136463",King's Lynn and West Norfolk,E07000146,sober.this.ashes
EPN-S0000000C7002,Eastern Power Networks (EPN),BASILDON GRID 132kV,Grid Substation,132,High,TQ6584187906,15,0,15,0,603B LOWER DUNTON RD,LAINDON,BASILDON,Essex,CM13 3SX,NA,1959-04-01,COLD,2020-09-04,ELP03872-R01,0.07Ω 0.00Deg,0.0,2039-11-30,565841,187906,NA,NA,NA,NA,NA,"51.5656442751686, 0.391332461295263",Thurrock,E06000034,varieties.beans.frost
EPN-S0000000C7021,Eastern Power Networks (EPN),TOTTENHAM GRID 132kV,Grid Substation,132,High,TQ3525991246,48,0,48,0,WATERMEAD WAY,TOTTENHAM,LONDON,Greater London,N17 0QJ,NA,1962-04-01,HOT,2018-10-16,ELP0061042-R01,0.09Ω 0.00Deg,0.06,2034-11-26,535259,191246,NA,NA,NA,NA,NA,"51.6038163564647, -0.0483075244759398",Haringey,E09000014,traded.secure.shout
EPN-S0000000C7057,Eastern Power Networks (EPN),SOUTHEND GRID 132kV,Grid Substation,132,High,TQ87608606,24,0,24,0,NORTH ROAD,,SOUTHEND ON SEA,Essex,SS0 7AY,NA,1958-04-01,COLD,2023-04-04,ELP0709356007-R01,0.09Ω 0.00Deg,0.0,2039-11-26,587600,186060,NA,NA,NA,NA,NA,"51.5422524126284, 0.703929468109945",Southend-on-Sea,E06000033,award.rails.cheat
EPN-S0000000C7070,Eastern Power Networks (EPN),PELHAM GRID 132kV,Grid Substation,132,High,TL4571328411,127,0,127,0,,,STOCKING PELHAM,Hertfordshire,SG9 0JA,NA,1963-04-01,HOT,2022-05-12,ELP07262008-R01,0.12Ω 0.00Deg,0.06,2038-11-26,545713,228411,NA,NA,NA,NA,NA,"51.9351365482506, 0.118115255066342",East Hertfordshire,E07000242,flanked.pinging.shortens
EPN-S0000000C7118,Eastern Power Networks (EPN),TOTTENHAM 132kV,Grid Substation,132,High,TQ3525991246,284,0,284,0,,,TOTTENHAM N17,Greater London,N17 0QJ,NA,1964-04-01,HOT,2018-10-16,ELP0061042-R01,0.09Ω 0.00Deg,0.06,2034-11-26,535259,191246,NA,NA,NA,NA,NA,"51.6038163564647, -0.0483075244759398",Haringey,E09000014,traded.secure.shout
EPN-S0000000C7124,Eastern Power Networks (EPN),CROWLANDS GRID 132kV,Grid Substation,132,High,TQ4974387796,52,0,52,0,CROW LANE,ROMFORD,ROMFORD,Essex,RM7 0ES,NA,1965-04-01,COLD,2017-04-27,ESL1992029-R01,0.27Ω 0.00Deg,0.07,2037-11-26,549743,187796,NA,NA,NA,NA,NA,"51.5691568232401, 0.159213320528281",Havering,E09000016,leave.famous.slips
EPN-S0000000C7148,Eastern Power Networks (EPN),HARLOW WEST GRID 132KV,Grid Substation,132,High,TL42700925,29,0,29,0,,,HARLOW,Essex,CM19 5AH,NA,1970-04-01,NA,,NA,NA,,2036-11-30,542700,209250,NA,NA,NA,NA,NA,"51.7637540094441, 0.0664180955934256",Harlow,E07000073,income.casino.played
EPN-S0000000C7204,Eastern Power Networks (EPN),TILBURY GREEN POWER,Grid Substation,132,Low,TQ6222677209,97,0,97,0,TILBURY GREEN POWER PORY OF TILBURY,,TILBURY,Essex,RM18 7EH,NA,2000-04-01,NA,,NA,NA,,2032-11-26,562226,177209,NA,NA,NA,NA,NA,"51.4705936011831, 0.334303142931482",Thurrock,E06000034,merit.gosh.wishes
EPN-S0000000C8066,Eastern Power Networks (EPN),WELWYN GRID 132KV,Grid Substation,132,High,TL2358211420,60,0,60,0,,BURROWFIELDS INDUSTRIAL ESTATE,WELWYN GARDEN CITY,Hertfordshire,AL7 4SR,NA,1963-04-01,COLD,2022-12-06,ELP08213-R01,0.40Ω 0.00Deg,0.07,2040-11-30,523582,211420,NA,NA,NA,NA,NA,"51.7877968509739, -0.209686012962806",Welwyn Hatfield,E07000241,same.strain.bend
EPN-S0000000C8108,Eastern Power Networks (EPN),WYMONDLEY ISOL COMPOUND 132kV,Grid Substation,132,Very High,TL2078826959,93,0,93,0,,,ST IPPOLYTS,Hertfordshire,SG4 7JL,NA,1978-04-01,HOT,2017-04-12,ESL1992011-R01,0.41Ω 0.00Deg,0.17,2026-11-30,520788,226959,NA,NA,NA,NA,NA,"51.9280508202176, -0.244747151351683",North Hertfordshire,E07000099,newly.crash.barks
EPN-S0000000C8119,Eastern Power Networks (EPN),HATFIELD GRID 132kV,Grid Substation,132,High,TL2166005656,93,0,93,0,,,COLNEY HEATH,Hertfordshire,AL4 0QT,NA,1959-04-01,COLD,2021-09-15,ELP06736-R01,0.39Ω 0.00Deg,0.06,2035-11-26,521660,205656,NA,NA,NA,NA,NA,"51.7364177276545, -0.239553302701182",Welwyn Hatfield,E07000241,local.stars.items
EPN-S0000000C8138,Eastern Power Networks (EPN),HENDON 132kV,Grid Substation,132,Medium,TQ2078889847,109,0,109,0,WITHIN HENDON GRID ANNESLEY AVENUE,COLINDALE,LONDON,Greater London,NW9 5ED,NA,2007-04-01,HOT,2018-10-03,ELP0061027-R01,NA,0.06,2034-11-26,520788,189847,NA,NA,NA,NA,NA,"51.5945300965162, -0.257634242351455",Barnet,E09000003,jobs.clown.nearly
EPN-S0000000D1041,Eastern Power Networks (EPN),CLIFF QUAY GRID 132/33kV,Grid Substation,132,High,TM1708942182,361,3,361,0,,,IPSWICH SOUTH,Suffolk,IP3 0BS,NA,1950-04-01,COLD,2016-10-19,ESL1519030-R01 RA,0.15Ω 0.00Deg,0.03,2027-11-26,617089,242182,"78, 78, 78","60, 60, 60",100%,69.8,89.5,"52.0355241339362, 1.16362334640208",Ipswich,E07000202,stamp.front.thumbnail
EPN-S0000000D1056,Eastern Power Networks (EPN),THETFORD GRID 132/33kV,Grid Substation,132,Very High,TL8648880002,283,2,283,0,,,BARNHAM,Suffolk,IP24 2DJ,NA,1967-04-01,HOT,2016-07-19,ESL1519016-R01 RA,6.70Ω 0.00Deg,0.45,2031-11-26,586488,280002,"117, 117","90, 90",100%,59.2,72.2,"52.3862819334029, 0.738889541490959",West Suffolk,E07000245,purse.creeps.elite
EPN-S0000000D3027,Eastern Power Networks (EPN),CLACTON GRID 132/33kV,Grid Substation,132,Very High,TM19191892,228,2,228,0,,,GREAT HOLLAND,Essex,CO16 9QG,NA,1960-04-01,COLD,2013-09-05,P-13-2977-01,0.03Ω 0.50Deg,,2025-11-30,619190,218920,"78, 78","60, 60",100%,43.7,57,"51.8258780652892, 1.17939860554406",Tendring,E07000076,them.visual.cover
EPN-S0000000D3038,Eastern Power Networks (EPN),MALDON GRID 132/33kV,Grid Substation,132,High,TL8375106307,167,2,167,0,,BEELEIGH,CHELMSFORD,Essex,CM9 6SQ,NA,1973-04-01,COLD,2021-10-27,ELP06250-R01,0.12Ω 0.00Deg,0.08,2039-11-26,583751,206307,"78, 78","60, 60",100%,36.9,44.1,"51.7253682121654, 0.659107740468937",,,dissolves.assume.famed
EPN-S0000000D4001,Eastern Power Networks (EPN),ARBURY GRID 132/33kV,Grid Substation,132,Medium,TL45506190,178,2,178,0,KINGS HEDGES ROAD,ARBURY,CAMBRIDGE,Cambridgeshire,CB4 2WQ,NA,2003-04-01,COLD,2020-02-14,ELP03583-R01,0.46Ω 0.00Deg,0.1,2025-11-26,545500,261900,"117, 117","90, 90",100%,52.7,67.9,"52.2360705090683, 0.129295504611532",South Cambridgeshire,E07000012,ever.liked.pokers
EPN-S0000000D4009,Eastern Power Networks (EPN),HISTON GRID 132/33kV,Grid Substation,132,Medium,TL4362062964,397,3,397,0,,,HISTON,Cambridgeshire,CB24 9PT,NA,1965-04-01,COLD,2023-05-24,ELP04256,0.14Ω 0.00Deg,0.1,2025-11-26,543620,262964,"117, 117","90, 90",100%,47,54.8,"52.2461229481053, 0.102236618763704",South Cambridgeshire,E07000012,notion.intelligible.tests
EPN-S0000000D4033,Eastern Power Networks (EPN),BURWELL LOCAL GRID 132/33kV,Grid Substation,132,High,TL5818666900,361,4,361,0,BURWELL LOCAL 132/33 WEIRS DROVE,BURWELL,CAMBRIDGE,Cambridgeshire,CB25 0BP,NA,1953-04-01,HOT,2023-11-08,ELP50210-R01,0.20Ω 0.00Deg,0.21,2025-11-26,558186,266900,"120, 54, 54, 54","90, 45, 45, 45","<100%, 100%",63.7,84.5,"52.2774898958568, 0.317253092352746",East Cambridgeshire,E07000009,salt.continues.lemmings
EPN-S0000000D4055,Eastern Power Networks (EPN),LITTLE BARFORD 132/33kV,Grid Substation,132,Medium,TL1874558065,331,2,331,0,,,LITTLE BARFORD,Bedfordshire,PE19 6WB,NA,1963-04-01,COLD,2014-10-20,ELP0308-R01,0.09Ω 10.12Deg,0.07,2038-11-26,518745,258065,"117, 117","90, 90",100%,51.2,69.5,"52.2080234773207, -0.263634779607096",Bedford,E06000055,reservoir.winters.computers
EPN-S0000000D5014,Eastern Power Networks (EPN),THORPE GRID 132/33kV,Grid Substation,132,High,TG2487907909,202,2,202,0,,,NORWICH NR1,Norfolk,NR1 2EE,NA,1954-04-01,COLD,2014-12-22,P-13-3259-01,0.55Ω 20.00Deg,0.03,2029-11-26,624879,307909,"117, 117","90, 90",100%,80.3,103.1,"52.6223410122001, 1.32092513603909",Norwich,E07000148,piper.vast.best
EPN-S0000000D5053,Eastern Power Networks (EPN),HALESWORTH GRID 132/33kV,Grid Substation,132,High,TM3910578955,207,2,207,0,,,HALESWORTH,Suffolk,IP19 8QJ,NA,1931-04-01,COLD,2021-11-03,ELP06148-R01,0.23Ω 0.00Deg,0.08,2031-11-30,639105,278955,"59, 59","45, 45",100%,34.5,36.9,"52.3564655534, 1.50991343666374",East Suffolk,E07000244,exile.appointed.triangle
EPN-S0000000D5056,Eastern Power Networks (EPN),LOWESTOFT GRID 132/33kV,Grid Substation,132,High,TM5404093353,150,2,150,0,,,LOWESTOFT NORTH,Suffolk,NR32 2JN,NA,1966-04-01,COLD,2015-12-17,ESL0951038-R02 RA,1.78Ω 0.00Deg,0.08,2029-11-26,654040,293353,"78, 78","60, 60",100%,36.8,46.7,"52.478918694707, 1.73967407554699",East Suffolk,E07000244,dash.dive.soak
EPN-S0000000D5067,Eastern Power Networks (EPN),GT YARMOUTH GRID 132/33kV,Grid Substation,132,High,TG5278805854,216,1,216,0,,,GREAT YARMOUTH SOUTH,Norfolk,NR30 3PU,NA,1951-04-01,COLD,2014-05-09,ESL0042-11643,0.07Ω 0.00Deg,,2029-11-26,652788,305854,108,90,100%,38.4,46.9,"52.5916441207607, 1.73078453995204",Great Yarmouth,E07000145,chops.piles.moth
EPN-S0000000D5073,Eastern Power Networks (EPN),WICKHAM MARKET GRID 132/33kV,Grid Substation,132,High,TM3028759707,276,2,276,0,,,HACHESTON,Suffolk,IP13 9ND,NA,1964-04-01,HOT,2015-11-17,ESL0951036-R01 RB,1.18Ω 0.00Deg,0.37,2031-11-26,630287,259707,"78, 78","60, 60",100%,40.1,47.4,"52.1874930946002, 1.36753668530461",East Suffolk,E07000244,snacks.remaining.untruth
EPN-S0000000D5089,Eastern Power Networks (EPN),ILKETSHALL GRID 132/33kV,Grid Substation,132,High,TM3863688021,129,2,129,0,,,ILKETSHALL ST ANDREW,Suffolk,NR34 8JP,NA,1948-04-01,COLD,1996-07-12,S9627,10.10Ω 0.00Deg,,2028-11-30,638636,288021,"78, 78","60, 60",100%,23.4,25.5,"52.438021143301, 1.50949530315185",East Suffolk,E07000244,snips.angry.dabble
EPN-S0000000D6007,Eastern Power Networks (EPN),KINGS LYNN SOUTH GRID 132/33kV,Grid Substation,132,High,TF6234917576,97,1,97,0,,,KINGS LYNN,Norfolk,PE30 4NG,NA,1970-04-01,HOT,2019-01-04,ESL095041-R01,0.11Ω 0.00Deg,0.06,2030-11-26,562349,317576,78,60,100%,26.5,30,"52.7314538421169, 0.402921260194627",King's Lynn and West Norfolk,E07000146,awake.churn.public
EPN-S0000000D6045,Eastern Power Networks (EPN),HEMPTON GRID 132/33kV,Grid Substation,132,High,TF90522951,173,2,173,0,,,HEMPTON,Norfolk,NR21 7LJ,NA,1962-04-01,HOT,2014-12-22,ESL0343009-R01,NA,0.41,2030-11-26,590520,329510,"59, 59","45, 45",100%,27,31.6,"52.8294239895079, 0.826556488347647",North Norfolk,E07000147,dawn.hockey.luxury
EPN-S0000000D6046,Eastern Power Networks (EPN),KINGS LYNN GRID 132/33kV,Grid Substation,132,High,TF6202720483,296,2,296,0,,,KINGS LYNN,Norfolk,PE30 1AA,NA,1953-04-01,COLD,2023-07-12,ELP09571-R01,0.10Ω 0.00Deg,0.04,2030-11-26,562027,320483,"78, 78","60, 60",60MVA,46,60.1,"52.7576600302301, 0.399591493869985",King's Lynn and West Norfolk,E07000146,ever.hurry.lots
EPN-S0000000D6065,Eastern Power Networks (EPN),MARCH GRID 132/33kV,Grid Substation,132,Very High,TL4078896510,272,2,272,0,,,MARCH,Cambridgeshire,PE15 9RH,NA,1962-04-01,COLD,2013-12-04,P-13-3302-01,NA,0.08,2028-11-26,540788,296510,"59, 59","45, 45",100%,37.8,44.8,"52.5482388436914, 0.0748765202284335",Fenland,E07000010,cone.ringers.share
EPN-S0000000D6077,Eastern Power Networks (EPN),WALSOKEN GRID 132/33kV,Grid Substation,132,Very High,TF4821409250,262,2,262,0,WALSOKEN GRID 132/33,,WISBECH,Cambridgeshire,PE14 7BQ,NA,1965-04-01,COLD,2012-01-20,P-11-1338-02,NA,0.08,2028-11-26,548214,309250,"120, 120","90, 90",100%,42.7,58.7,"52.6607159075881, 0.190011771658331",King's Lynn and West Norfolk,E07000146,renamed.domain.rafters
EPN-S0000000D7046,Eastern Power Networks (EPN),HORNCHURCH GRID 132/33KV,Grid Substation,132,High,TQ5434186849,275,2,275,0,ST MARYS LANE,HORNCHURCH,UPMINSTER,Essex,RM12 6HB,NA,1965-04-01,COLD,2021-08-04,ELP05282039-R01,1.41Ω 0.00Deg,0.08,2037-11-26,554341,186849,"108, 108","90, 90",100%,46.5,72.3,"51.5594096902223, 0.225088306836665",Havering,E09000016,rear.dots.tile
